score,mean_sharpe,mean_ann_ret,worst_total_ret,worst_max_dd,avg_trade_win,avg_trades,spread_lookback,zscore_entry,zscore_exit,spread_min_pts,holding_days_max,capital_fraction,dte_target,regime_lookback,regime_zscore_max,mean_ann_ret_pct,worst_total_ret_pct,worst_max_dd_pct,avg_trade_win_pct
0.6233143690092188,1.1443245564093611,0.08092374628217858,0.024698882799582655,0.11479139716892928,0.575,7.0,75,1.2,0.3,3.0,14,0.24,21,30,1.5,8.092374628217858,2.4698882799582655,11.479139716892927,57.49999999999999
0.6166953196486802,1.4919824084465148,0.04292498014531804,-0.0750372990886835,0.21362674161719664,0.5833333333333333,6.5,75,1.1,0.3,3.0,21,0.2,14,30,1.5,4.2924980145318035,-7.503729908868351,21.362674161719664,58.33333333333333
0.613116285470851,1.1416385799966282,0.06824284405197167,0.02056051688801097,0.10061818438715664,0.575,7.0,75,1.2,0.4,3.0,14,0.2,21,20,1.2,6.824284405197167,2.056051688801097,10.061818438715664,57.49999999999999
0.6011030648664569,1.625754818050094,0.04534464563946805,-0.13840983719501643,0.20570711997435787,0.5,6.0,60,1.1,0.3,4.0,14,0.24,14,45,1.5,4.5344645639468055,-13.840983719501644,20.570711997435787,50.0
0.5743478229811585,1.214629896190491,0.05637745977337716,-0.01170662499191688,0.1847607995540338,0.5625,6.0,75,1.2,0.4,2.0,28,0.2,14,30,1.5,5.637745977337715,-1.170662499191688,18.476079955403378,56.25
0.5556888205118845,1.4812089526100827,0.03906389958624451,-0.08137294146524787,0.2100166224658252,0.5208333333333333,5.5,75,1.5,0.4,3.0,14,0.2,14,45,1.5,3.906389958624451,-8.137294146524788,21.00166224658252,52.08333333333333
0.5520789449591409,1.5171668178902915,0.05347361564778752,-0.05394002808374454,0.18781020738671106,0.5833333333333333,4.5,75,1.2,0.3,4.0,28,0.2,14,20,1.2,5.347361564778752,-5.394002808374454,18.781020738671106,58.33333333333333
0.5470582268558078,1.0967357956698924,0.06007953221071716,0.014201783564103732,0.06586465594478808,0.5833333333333333,5.5,75,1.5,0.3,3.0,14,0.16,28,45,1.5,6.007953221071716,1.4201783564103732,6.586465594478808,58.33333333333333
0.5417540995454567,1.4393635146487953,0.027530571080025545,-0.07410068305937845,0.17445026034656042,0.4583333333333333,5.5,60,1.35,0.3,2.0,14,0.16,14,30,1.5,2.7530571080025545,-7.410068305937845,17.445026034656042,45.83333333333333
0.5407347877403468,1.4403363917835796,0.027530571080025545,-0.07410068305937845,0.1787524042679951,0.4583333333333333,5.5,60,1.35,0.3,2.0,14,0.16,14,20,1.2,2.7530571080025545,-7.410068305937845,17.87524042679951,45.83333333333333
